Index,passenger_name,Born,Died,Age,age_at_death,gender,marital_status,category,ticket_class,job_group,ticket,cabin,embarked,disembarked
1,Ashton J,1891,,21,,Male,,Crew,,Californian Crew,,,,
2,Ballantyne M,1863,,49,,Male,,Crew,,Californian Crew,,,,
3,Bartman A.J.,1886,,26,,Male,,Crew,,Californian Crew,,,,
4,Beal Sidney,1883,,29,,Male,,Crew,,Californian Crew,,,,
5,Brennan G,1872,,40,,Male,,Crew,,Californian Crew,,,,
6,Brennan W,1860,,52,,Male,,Crew,,Californian Crew,,,,
7,Burke W,1869,,43,,Male,,Crew,,Californian Crew,,,,
8,Burlingham Henry J.,1871,,41,,Male,,Crew,,Californian Crew,,,,
9,Button J,1881,,31,,Male,,Crew,,Californian Crew,,,,
10,Carswell Louis,1867,,45,,Male,,Crew,,Californian Crew,,,,
11,Clapham J,1867,,45,,Male,,Crew,,Californian Crew,,,,
12,Dalziel John,1877,,35,,Male,,Crew,,Californian Crew,,,,
13,Dick Eppo,1880,,32,,Male,,Crew,,Californian Crew,,,,
14,Donovan D,1870,,42,,Male,,Crew,,Californian Crew,,,,
15,Evans Cyril Furmstone,1892,,20,,Male,,Crew,,Californian Crew,,,,
16,Evans J.C.,1881,,31,,Male,,Crew,,Californian Crew,,,,
17,"Fyfe J,",1879,,33,,Male,,Crew,,Californian Crew,,,,
18,Gervorski H,1870,,42,,Male,,Crew,,Californian Crew,,,,
19,Gibson James,1892,,20,,Male,,Crew,,Californian Crew,,,,
20,Gill Ernest,1886,,26,,Male,,Crew,,Californian Crew,,,,
21,Glenn G,1889,,23,,Male,,Crew,,Californian Crew,,,,
22,Groves Charles Victor,1888,1961,24,73,Male,,Crew,Deck,Californian Crew,,,,
23,Haydon W.,1874,,38,,Male,,Crew,,Californian Crew,,,,
24,Hoffmann O.,1880,,32,,Male,,Crew,,Californian Crew,,,,
25,Homans A,1892,,20,,Male,,Crew,,Californian Crew,,,,
26,Hooton F. R.,1889,,23,,Male,,Crew,,Californian Crew,,,,
27,Hughes William,1877,,35,,Male,,Crew,,Californian Crew,,,,
28,Jacob G,1893,,19,,Male,,Crew,,Californian Crew,,,,
29,Janssen P.W.,1870,,42,,Male,,Crew,,Californian Crew,,,,
30,Jessop C,1883,,29,,Male,,Crew,,Californian Crew,,,,
31,Jones R,1852,,60,,Male,,Crew,,Californian Crew,,,,
32,Kennerdale W.,1869,,43,,Male,,Crew,,Californian Crew,,,,
33,Kirk Benjamin,1890,,22,,Male,,Crew,,Californian Crew,,,,
34,Lawes Harry,1895,,17,,Male,,Crew,,Californian Crew,,,,
35,Le Comes Charles,1869,,43,,Male,,Crew,,Californian Crew,,,,
36,Lord Stanley,1877,1962,34,84,Male,Married,Crew,Deck,Californian Crew,,,,
37,Lushey J,1856,,56,,Male,,Crew,,Californian Crew,,,,
38,Mahon W.S.A.,1875,,37,,Male,,Crew,,Californian Crew,,,,
39,McGregor Wm,1871,,41,,Male,,Crew,,Californian Crew,,,,
40,Melville G,1892,,20,,Male,,Crew,,Californian Crew,,,,
41,Murray B,1883,,29,,Male,,Crew,,Californian Crew,,,,
42,Pavey W.H.,1882,,30,,Male,,Crew,,Californian Crew,,,,
43,Roberts Albert,1886,,26,,Male,,Crew,,Californian Crew,,,,
44,Ross William,1886,,26,,Male,,Crew,,Californian Crew,,,,
45,Sintich Joseph,1855,,57,,Male,,Crew,,Californian Crew,,,,
46,Stewart George F.,1878,,34,,Male,,Crew,,Californian Crew,,,,
47,Stone Herbert,1888,,24,,Male,,Crew,,Californian Crew,,,,
48,Thomas W,1866,,46,,Male,,Crew,,Californian Crew,,,,
49,Unsworth J,1894,,18,,Male,,Crew,,Californian Crew,,,,
50,Ward W.,1874,,38,,Male,,Crew,,Californian Crew,,,,
51,White T,1892,,20,,Male,,Crew,,Californian Crew,,,,
52,Willis W,1892,,20,,Male,,Crew,,Californian Crew,,,,
53,Wilson C,1880,,32,,Male,,Crew,,Californian Crew,,,,
54,Zorindem T,1850,,62,,Male,,Crew,,Californian Crew,,,,
55,Abbott Edward,1886,1957,25,71,Male,Single,Crew,,Carpathia Crew,,,,
56,Ackerley Samuel,1887,1970,24,82,Male,Single,Crew,,Carpathia Crew,,,,
57,Allen David,1885,,27,,Male,,Crew,,Carpathia Crew,,,,
58,Andersen Peter,1866,,46,,Male,,Crew,,Carpathia Crew,,,,
59,Antonacci Francesco,1883,,29,,Male,,Crew,,Carpathia Crew,,,,
60,Armanesi Donato,1880,,32,,Male,,Crew,,Carpathia Crew,,,,
61,Ascheri G. Battista,1868,,44,,Male,,Crew,,Carpathia Crew,,,,
62,Attelio Fabian,1892,,20,,Male,,Crew,,Carpathia Crew,,,,
63,Bairnson Charles William,1869,1941,42,71,Male,,Crew,,Carpathia Crew,,,,
64,Baker Henry,1872,1924,39,51,Male,Married,Crew,,Carpathia Crew,,,,
65,Baldwin H.,1880,,32,,Male,,Crew,,Carpathia Crew,,,,
66,Barker James William,1887,1973,24,86,Male,Single,Crew,Victualling,Carpathia Crew,,,,
67,Barker John,1888,,24,,Male,,Crew,,Carpathia Crew,,,,
68,Barnett Percy Bernard,1882,1932,29,49,Male,Single,Crew,,Carpathia Crew,,,,
69,Barnish Geoffrey Howard,1887,1941,25,54,Male,Single,Crew,,Carpathia Crew,,,,
70,Barton William Thomas,1874,1945,37,70,Male,Married,Crew,,Carpathia Crew,,,,
71,Battelic Giacomo,1881,,31,,Male,,Crew,,Carpathia Crew,,,,
72,Bayliss Charles James,1886,,25,,Male,Single,Crew,,Carpathia Crew,,,,
73,Beattie James A.,1884,,28,,Male,,Crew,,Carpathia Crew,,,,
74,Birkett Sydney Percival,1888,1957,23,68,Male,Single,Crew,,Carpathia Crew,,,,
75,Bisset James Gordon Partridge,1883,1967,28,83,Male,Single,Crew,,Carpathia Crew,,,,
76,Blackman,1879,,33,,Male,,Crew,,Carpathia Crew,,,,
77,Blakeley James,1882,,30,,Male,,Crew,,Carpathia Crew,,,,
78,Blakely Joseph,1889,1972,22,82,Male,Single,Crew,,Carpathia Crew,,,,
79,Blascovic Giovanni,1878,,34,,Male,,Crew,,Carpathia Crew,,,,
80,Blythin William,1871,,41,,Male,,Crew,,Carpathia Crew,,,,
81,Blythyn James,1892,,20,,Male,,Crew,,Carpathia Crew,,,,
82,Bolis Ermenogildo,1876,,36,,Male,,Crew,,Carpathia Crew,,,,
83,Boris Anton,1876,,36,,Male,,Crew,,Carpathia Crew,,,,
84,Boris Istv n,1884,,28,,Male,,Crew,,Carpathia Crew,,,,
85,Bourland Samuel,1854,,58,,Male,,Crew,,Carpathia Crew,,,,
86,Brennan Thomas,1894,,18,,Male,,Crew,,Carpathia Crew,,,,
87,Brown Edward Arthur,1890,,21,,Male,,Crew,,Carpathia Crew,,,,
88,Brown Ernest G. F.,1885,,27,,Male,,Crew,,Carpathia Crew,,,,
89,Brown John,1850,,62,,Male,,Crew,,Carpathia Crew,,,,
90,Burdall William,1884,,28,,Male,,Crew,,Carpathia Crew,,,,
91,Buricic Antonio,1885,,27,,Male,,Crew,,Carpathia Crew,,,,
92,Butler John Howell,1890,1959,21,68,Male,Single,Crew,,Carpathia Crew,,,,
93,Callaghan John,1862,,50,,Male,,Crew,,Carpathia Crew,,,,
94,Calotio Tiberio,1874,,38,,Male,,Crew,,Carpathia Crew,,,,
95,Candrlic Jozefine,1884,,28,,Female,,Crew,,Carpathia Crew,,,,
96,Cannon Robert Henry,1863,,49,,Male,,Crew,,Carpathia Crew,,,,
97,Car Giuseppe,1894,,18,,Male,,Crew,,Carpathia Crew,,,,
98,Cargill John Ritchie,1892,1981,19,88,Male,Single,Crew,,Carpathia Crew,,,,
99,Carrione Tobia,1882,,30,,Male,,Crew,,Carpathia Crew,,,,
100,Casalini Angelo,1896,,16,,Male,,Crew,,Carpathia Crew,,,,
101,Cernyul Antonio,1893,,19,,Male,,Crew,,Carpathia Crew,,,,
102,Cersavanic Giovanni,1877,,35,,Male,,Crew,,Carpathia Crew,,,,
103,Chemil Matteo,1887,,25,,Male,,Crew,,Carpathia Crew,,,,
104,Chervatin Matteo,1894,,18,,Male,,Crew,,Carpathia Crew,,,,
105,Cheyne Thomas,1882,1960,29,77,Male,,Crew,,Carpathia Crew,,,,
106,Chircosic Matteo,1885,,27,,Male,,Crew,,Carpathia Crew,,,,
107,Clapcic Giuseppe,1894,,18,,Male,,Crew,,Carpathia Crew,,,,
108,Clarke R. H.,1885,,27,,Male,,Crew,,Carpathia Crew,,,,
109,Claspcic Giovanni,1881,,31,,Male,,Crew,,Carpathia Crew,,,,
110,Cnapic Domenico,1879,,33,,Male,,Crew,,Carpathia Crew,,,,
111,Cole Albert,1886,1957,25,70,Male,,Crew,,Carpathia Crew,,,,
112,Coleman Henry Charles,1884,1951,28,67,Male,,Crew,,Carpathia Crew,,,,
113,Colizza Carlo,1882,,30,,Male,,Crew,,Carpathia Crew,,,,
114,Collopy William Patrick,1890,1972,22,82,Male,Single,Crew,,Carpathia Crew,,,,
115,Colquhoun Douglas Hamilton,1882,1943,29,60,Male,,Crew,,Carpathia Crew,,,,
116,Comandic Marco,1882,,29,,Male,,Crew,,Carpathia Crew,,,,
117,Connolly John,1882,,30,,Male,,Crew,,Carpathia Crew,,,,
118,Cope Charles,1882,1949,30,66,Male,Single,Crew,,Carpathia Crew,,,,
119,Corless George Henry,1885,1936,26,50,Male,Single,Crew,,Carpathia Crew,,,,
120,Cos Matteo,1886,,26,,Male,,Crew,,Carpathia Crew,,,,
121,Cosgrove David,1884,1954,28,70,Male,,Crew,,Carpathia Crew,,,,
122,Cottam Harold Thomas,1891,1984,21,93,Male,,Crew,Victualling,Carpathia Crew,,,,
123,Coughlin Laurence,1892,1973,19,80,Male,Single,Crew,,Carpathia Crew,,,,
124,Cowan Robert Stanley Christian,1886,1970,25,83,Male,Single,Crew,,Carpathia Crew,,,,
125,Coyle John Neil,1881,,31,,Male,Married,Crew,,Carpathia Crew,,,,
126,Crognaz Giacomo,1879,,33,,Male,,Crew,,Carpathia Crew,,,,
127,Cservenka Julia Blanche,1886,1961,25,74,Female,Single,Crew,,Carpathia Crew,,,,
128,Curatolo Gaspare,1890,,22,,Male,,Crew,,Carpathia Crew,,,,
129,Curatolo Michele,1893,,19,,Male,,Crew,,Carpathia Crew,,,,
130,Currie Henry,1878,,34,,Male,,Crew,,Carpathia Crew,,,,
131,Danicic Franc,1895,,17,,Male,,Crew,,Carpathia Crew,,,,
132,Dean Horace John,1876,1943,35,66,Male,Married,Crew,,Carpathia Crew,,,,
133,Dellow William Thomas,1894,1963,17,69,Male,Single,Crew,,Carpathia Crew,,,,
134,Derossi Giovanni,1883,,29,,Male,,Crew,,Carpathia Crew,,,,
135,Desanti Jozef,1886,,26,,Male,,Crew,,Carpathia Crew,,,,
136,Devanic Johan,1888,,24,,Male,,Crew,,Carpathia Crew,,,,
137,Dobson Robert,1887,1951,25,64,Male,Single,Crew,,Carpathia Crew,,,,
138,Donato Pancrazio,1894,,18,,Male,,Crew,,Carpathia Crew,,,,
139,Dubuccio Mariano,1889,,23,,Male,,Crew,,Carpathia Crew,,,,
140,Duffin Henry James,1885,1932,26,47,Male,,Crew,,Carpathia Crew,,,,
141,Eagleton John James,1896,1959,15,62,Male,Single,Crew,,Carpathia Crew,,,,
142,Easson James,1889,,22,,Male,Single,Crew,,Carpathia Crew,,,,
143,Eaton A.,1888,,24,,Male,,Crew,,Carpathia Crew,,,,
144,Eaton David Smith,1876,1945,35,68,Male,Married,Crew,,Carpathia Crew,,,,
145,Elderson George Allan,1891,1934,20,43,Male,,Crew,,Carpathia Crew,,,,
146,Elic Giovanni,1873,,39,,Male,,Crew,,Carpathia Crew,,,,
147,Elson James,1869,,43,,Male,,Crew,,Carpathia Crew,,,,
148,Eves Thomas Richard,1881,1932,31,50,Male,Married,Crew,,Carpathia Crew,,,,
149,Fairhurst Wilfrid George,1885,1915,27,30,Male,Married,Crew,,Carpathia Crew,,,,
150,Faraguna Domenico,1890,,22,,Male,,Crew,,Carpathia Crew,,,,
151,Faraguna Mateo,1894,,18,,Male,,Crew,,Carpathia Crew,,,,
152,Faraguna Matteo,1886,,26,,Male,,Crew,,Carpathia Crew,,,,
153,Farallo Santo,1876,,36,,Male,,Crew,,Carpathia Crew,,,,
154,Farese Salvatore,1872,,40,,Male,,Crew,,Carpathia Crew,,,,
155,Fell Philip,1891,,21,,Male,,Crew,,Carpathia Crew,,,,
156,Fendora Joseph,1896,,16,,Male,,Crew,,Carpathia Crew,,,,
157,Ferlan Giuseppe,1886,,26,,Male,,Crew,,Carpathia Crew,,,,
158,Fitzpatrick William,1874,,38,,Male,,Crew,,Carpathia Crew,,,,
159,Flanagan Thomas,1881,,31,,Male,,Crew,,Carpathia Crew,,,,
160,Foxon Thomas South,1886,1942,25,55,Male,Married,Crew,,Carpathia Crew,,,,
161,Franclic Antonio,1885,,27,,Male,,Crew,,Carpathia Crew,,,,
162,Francovic Matrino,1873,,39,,Male,,Crew,,Carpathia Crew,,,,
163,Fucak Matteo,1880,,32,,Male,,Crew,,Carpathia Crew,,,,
164,Fuckeack Stanko,1885,,27,,Male,,Crew,,Carpathia Crew,,,,
165,Gambino Gaetano,1885,,27,,Male,,Crew,,Carpathia Crew,,,,
166,Gardner George,1881,1956,30,74,Male,Single,Crew,,Carpathia Crew,,,,
167,Gardner Thomas,1892,,20,,Male,,Crew,,Carpathia Crew,,,,
168,Gaskell William,1894,,18,,Male,,Crew,,Carpathia Crew,,,,
169,Gilliam Alfred,1889,,22,,Male,,Crew,,Carpathia Crew,,,,
170,Glinbic Francesco,1880,,32,,Male,,Crew,,Carpathia Crew,,,,
171,Godler H.,1895,,17,,Male,,Crew,,Carpathia Crew,,,,
172,Golden Patrick,1885,,27,,Male,,Crew,,Carpathia Crew,,,,
173,Gould Thomas,1885,1968,26,82,Male,Single,Crew,,Carpathia Crew,,,,
174,Govern A. M.,1878,,34,,Male,,Crew,,Carpathia Crew,,,,
175,Grant Robert,1883,,29,,Male,,Crew,,Carpathia Crew,,,,
176,Gratton Luca,1886,,26,,Male,,Crew,,Carpathia Crew,,,,
177,Grocott Ernest,1882,1947,29,64,Male,,Crew,,Carpathia Crew,,,,
178,Hague Mary E.,1883,,29,,Female,,Crew,,Carpathia Crew,,,,
179,Hall John A.,1883,,29,,Male,,Crew,,Carpathia Crew,,,,
180,Hankinson Thomas William,1857,1936,54,78,Male,Married,Crew,,Carpathia Crew,,,,
181,Hatton John,1883,,29,,Male,,Crew,,Carpathia Crew,,,,
182,Hawley George Reginald Chalmers,1888,1931,24,43,Male,Single,Crew,,Carpathia Crew,,,,
183,Hill C.,1864,,48,,Male,,Crew,,Carpathia Crew,,,,
184,Holliday J. A.,1874,,38,,Male,,Crew,,Carpathia Crew,,,,
185,Holmes Thomas Alfred,1875,1954,36,78,Male,Married,Crew,,Carpathia Crew,,,,
186,Hope Thomas,1897,,15,,Male,,Crew,,Carpathia Crew,,,,
187,Howarth Joseph,1891,1943,20,51,Male,Single,Crew,,Carpathia Crew,,,,
188,Hughes Evan Henry,1879,1963,33,84,Male,Married,Crew,,Carpathia Crew,,,,
189,Indelicato Pasquale,1873,,39,,Male,,Crew,,Carpathia Crew,,,,
190,Irvine Joseph,1889,,23,,Male,,Crew,,Carpathia Crew,,,,
191,Javanovic Milan,1884,,28,,Male,,Crew,,Carpathia Crew,,,,
192,Johnson Fredrick William,1888,,23,,Male,Single,Crew,,Carpathia Crew,,,,
193,Johnston Alexander Braid,1852,1928,58,74,Male,Married,Crew,,Carpathia Crew,,,,
194,Jones Charles,1875,,37,,Male,,Crew,,Carpathia Crew,,,,
195,Jones Henry,1875,,37,,Male,,Crew,,Carpathia Crew,,,,
196,Jones James,1891,,21,,Male,,Crew,,Carpathia Crew,,,,
197,Just Louis,1862,,50,,Male,,Crew,,Carpathia Crew,,,,
198,Kappel Louis,1878,1963,33,85,Male,,Crew,,Carpathia Crew,,,,
199,Karageorge Andrew,1871,1913,41,42,Male,,Crew,,Carpathia Crew,,,,
200,Kelly John,1860,,52,,Male,,Crew,,Carpathia Crew,,,,
201,Kelly John J.,1885,,27,,Male,,Crew,,Carpathia Crew,,,,
202,Kennedy Charles Henry,1881,1943,30,61,Male,Single,Crew,,Carpathia Crew,,,,
203,King Arthur,1892,1974,19,81,Male,Single,Crew,,Carpathia Crew,,,,
204,Kirk Joseph,1882,1955,29,72,Male,,Crew,,Carpathia Crew,,,,
205,Kirk Patrick,1892,1934,19,41,Male,,Crew,,Carpathia Crew,,,,
206,Kirkpatrick John James,1892,1978,20,86,Male,Single,Crew,,Carpathia Crew,,,,
207,Klor Giuseppe,1894,,18,,Male,,Crew,,Carpathia Crew,,,,
208,Kormoski Wito,1890,,22,,Male,,Crew,,Carpathia Crew,,,,
209,Kovacevic Matteo,1895,,17,,Male,,Crew,,Carpathia Crew,,,,
210,Kreglia Mario,1894,,18,,Male,,Crew,,Carpathia Crew,,,,
211,Kukac Velko,1893,,19,,Male,,Crew,,Carpathia Crew,,,,
212,Kukina Giovanni,1896,,16,,Male,,Crew,,Carpathia Crew,,,,
213,Kumbotovic Antonio,1875,,37,,Male,,Crew,,Carpathia Crew,,,,
214,Langendorff Lajos,1896,,16,,Male,,Crew,,Carpathia Crew,,,,
215,Lawrenson Thomas,1889,1924,22,34,Male,Single,Crew,,Carpathia Crew,,,,
216,Lee Harold Hewitt,1890,1974,22,84,Male,Single,Crew,,Carpathia Crew,,,,
217,Lengyel Arpad,1886,,26,,Male,,Crew,,Carpathia Crew,,,,
218,Lewin Christopher Carrigue,1883,1957,29,73,Male,Married,Crew,,Carpathia Crew,,,,
219,Liberato Rocco,1886,,26,,Male,,Crew,,Carpathia Crew,,,,
220,Lilgeati Pasquale,1871,,41,,Male,,Crew,,Carpathia Crew,,,,
221,Limpic Giovanni,1895,,17,,Male,,Crew,,Carpathia Crew,,,,
222,Little James,1873,,39,,Male,,Crew,,Carpathia Crew,,,,
223,Livermore Vernon Hyde St Lawrence,1880,1964,31,84,Male,Single,Crew,,Carpathia Crew,,,,
224,Ljubnic Giovanni,1871,,41,,Male,,Crew,,Carpathia Crew,,,,
225,Lubicic Francesco,1881,,31,,Male,,Crew,,Carpathia Crew,,,,
226,Lubicic Matteo,1878,,34,,Male,,Crew,,Carpathia Crew,,,,
227,Lubicic Matteo,1885,,27,,Male,,Crew,,Carpathia Crew,,,,
