index,passenger_name,born,died,age,age_at_death,gender,marital_status,category,ticket_class,job_group,ticket,cabin,embarked,disembarked,country_of_residence,profession,job,pclass,survived,sibsp,parch,fare,boat,body,countryid2,survived_y_n
2900,?a?i? Jego Grga,1894,1912,18,18,Male,Single,Passenger,3rd Class,,315091,,Southampton,,Croatia [Austria-Hungary],Farmer,Farmer,,,,,,,,104,
2901,?a?i? Luka,1873,1912,38,38,Male,Married,Passenger,3rd Class,,315089,,Southampton,,Croatia [Austria-Hungary],Farmer,Farmer,,,,,,,,105,
2902,?a?i? Manda,1891,1912,20,20,Female,Single,Passenger,3rd Class,,315087,,Southampton,,Croatia [Austria-Hungary],Farm Labourer,Farm Labourer,,,,,,,,107,
2903,?a?i? Marija,1875,1912,36,36,Female,Single,Passenger,3rd Class,,315084,,Southampton,,Croatia [Austria-Hungary],Farm Labourer,Farm Labourer,,,,,,,,106,
2898,?ali? Jovo,1895,1912,17,17,Male,Single,Passenger,3rd Class,,315093,,Southampton,,Croatia [Austria-Hungary],0,,,,,,,,,109,
2899,?ali? Petar,1895,1912,17,17,Male,Single,Passenger,3rd Class,,315086,,Southampton,,Croatia [Austria-Hungary],Farm Labourer,Farm Labourer,,,,,,,,108,
2908,?ann? Al-H?j Mans?r,1877,1912,35,35,Male,Married,Passenger,3rd Class,,2693,,Cherbourg,,Syria,0,,,,,,,,,1795,
2909,?ann? Mub?rik Sulaym?n Ab? ?s?,1885,1952,27,66,Male,Single,Passenger,3rd Class,,2663,,Cherbourg,New York City,Syria,0,,,,,,,,,1794,
2911,?ann?s ?ann?s ?ann? Mu'awwad,1896,1912,16,16,Male,,Passenger,3rd Class,,2684,,Cherbourg,,,,,,,,,,,,,
2910,?ann?s Mu'awwad ?ann?,1877,1912,34,34,Male,,Passenger,3rd Class,,2681,,Cherbourg,,,,,,,,,,,,,
2904,?or Bartol,1877,1912,35,35,Male,Married,Passenger,3rd Class,,349230,,Southampton,,Croatia [Austria-Hungary],General Labourer,General Labourer,,,,,,,,110,
2905,?or Ivan,1885,1912,27,27,Male,Married,Passenger,3rd Class,,349229,,Southampton,,Croatia [Austria-Hungary],General Labourer,General Labourer,,,,,,,,111,
2906,?or Liudevit,1893,1912,19,19,Male,Married,Passenger,3rd Class,,349231,,Southampton,,Croatia [Austria-Hungary],General Labourer,General Labourer,,,,,,,,112,
2907,?ulumovi? Jeso,1895,1912,17,17,Male,Single,Passenger,3rd Class,,315090,,Southampton,,Croatia [Austria-Hungary],0,,,,,,,,,113,
2895,÷dahl Nils Martin,1888,1912,23,23,Male,,Passenger,3rd Class,,7267,,Southampton,,Sweden,General Labourer,General Labourer,,,,,,,,1723,
2896,÷hman Velin Matilda,1890,1966,22,76,Female,Engaged,Passenger,3rd Class,,347085,,Southampton,New York City,Sweden,0,,,,,,,,,1724,yes
